"run_name" "set_name" "mlst_scheme" "coverage_at_5000" "coverage_at_10000"
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_1074" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 0.857142857142857 0.857142857142857
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_1074" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 0.666666666666667 0.666666666666667
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_1074" "cgMLST" 0.813938618925831 0.953324808184143
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_1074" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 1
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_2315" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_2315" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 0.777777777777778 0.777777777777778
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_2315" "cgMLST" 0.825447570332481 0.955882352941177
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_2315" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.714285714285714 1
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_3066" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_3066" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_3066" "cgMLST" 0.868925831202046 0.979539641943734
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_3066" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.714285714285714 1
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_3852" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_3852" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_3852" "cgMLST" 0.90153452685422 0.991687979539642
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_3852" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 1
