"run_name" "set_name" "mlst_scheme" "coverage_at_5000" "coverage_at_10000"
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_5905" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 0.857142857142857 1
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_5905" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_5905" "cgMLST" 0.868286445012788 0.975703324808184
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_5905" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.714285714285714 1
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_609" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_609" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 0.777777777777778 0.777777777777778
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_609" "cgMLST" 0.812020460358056 0.952685421994885
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_609" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 0.857142857142857
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_6309" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_6309" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_6309" "cgMLST" 0.870204603580563 0.980818414322251
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_6309" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 1
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_6449" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_6449" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_6449" "cgMLST" 0.936741214057508 0.996805111821086
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_6449" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 1
"lepto_human_like_nau_40_primers_30_minTm_42_maxTm" "set_7340" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_40_primers_30_minTm_42_maxTm" "set_7340" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_40_primers_30_minTm_42_maxTm" "set_7340" "cgMLST" 0.955242966751918 0.998721227621483
"lepto_human_like_nau_40_primers_30_minTm_42_maxTm" "set_7340" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 1
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_8743" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_8743" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_8743" "cgMLST" 0.927109974424552 0.993606138107417
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_8743" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 1
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_9374" "adk2/glmU2/icdA2/lipL322/lipL412/mreA2/pntA2" 1 1
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_9374" "adk3/icdA3/lipL323/lipL413/rrs23/secY3" 1 1
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_9374" "cgMLST" 0.915654952076677 0.992332268370607
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_9374" "glmU1/pntA1/sucA1/tpiA1/pfkB1/mreA1/caiB1" 0.857142857142857 1
